Symbol,Company,Price,change,Percent Change,Market Cap
CLGX,"CoreLogic, Inc.",40.50,+0.31,+0.77%,"418,287"
ITRI,"Itron, Inc.",79.66,+0.41,+0.52%,"284,881"
VRNT,Verint Systems Inc.,47.18,-0.29,-0.61%,"261,278"
IPHI,Inphi Corporation,68.58,-0.54,-0.78%,"607,170"
BRKS,"Brooks Automation, Inc.",43.31,-0.31,-0.70%,"344,487"
MANT,ManTech International Corporation,77.36,-0.65,-0.83%,"77,866"
BB,BlackBerry Limited,5.60,+0.26,+4.87%,6.477M
NOVT,Novanta Inc.,86.25,+1.03,+1.21%,"172,721"
TDC,Teradata Corporation,26.70,+0.80,+3.09%,1.447M
BL,"BlackLine, Inc.",52.99,+0.29,+0.55%,"271,485"
AMKR,"Amkor Technology, Inc.",12.13,-0.18,-1.50%,"763,107"
VSH,"Vishay Intertechnology, Inc.",19.06,-0.15,-0.78%,"617,741"
ACIA,"Acacia Communications, Inc.",66.64,-0.06,-0.09%,"266,658"
MIME,Mimecast Limited,43.68,-0.23,-0.52%,"232,068"
COMM,"CommScope Holding Company, Inc.",13.94,+0.23,+1.68%,3.574M
TENB,"Tenable Holdings, Inc.",27.54,+0.04,+0.15%,"235,535"
POWI,"Power Integrations, Inc.",90.47,+0.69,+0.77%,"79,336"
CLDR,"Cloudera, Inc.",9.44,+0.29,+3.17%,3.899M
PRO,"PROS Holdings, Inc.",57.77,+0.50,+0.87%,"368,101"
DAVA,Endava plc,45.97,+0.56,+1.23%,"167,833"
PS,"Pluralsight, Inc.",17.84,+0.06,+0.34%,"725,075"
AVX,AVX Corporation,14.71,-0.08,-0.54%,"92,379"
