Symbol,Company,Price,change,Percent Change,Market Cap
RDWR,Radware Ltd.,23.66,+0.29,+1.24%,"78,683"
FORTY,Formula Systems (1985) Ltd.,72.20,+0.50,+0.70%,50
LORL,Loral Space & Communications Inc.,33.86,-0.02,-0.06%,"38,031"
DDD,3D Systems Corporation,8.75,+0.13,+1.51%,1.075M
SPWR,SunPower Corporation,7.20,+0.05,+0.70%,6.458M
SSYS,Stratasys Ltd.,18.69,+0.14,+0.75%,"499,915"
MLAB,"Mesa Laboratories, Inc.",231.30,+5.10,+2.25%,"28,650"
PLT,"Plantronics, Inc.",24.90,+0.54,+2.22%,"483,226"
EBIX,"Ebix, Inc.",32.53,+0.84,+2.65%,"473,809"
MODN,"Model N, Inc.",29.54,-0.70,-2.31%,"212,296"
CLS,Celestica Inc.,7.57,-0.03,-0.39%,"322,058"
NVMI,Nova Measuring Instruments Ltd.,34.12,-0.32,-0.93%,"25,456"
XPER,Xperi Corporation,19.05,-0.52,-2.66%,"218,470"
QADB,QAD Inc.,35.90,0.00,0.00%,52
QADA,QAD Inc.,48.00,-0.12,-0.25%,"47,340"
TIVO,TiVo Corporation,7.37,+0.26,+3.66%,"642,274"
MTLS,Materialise NV,17.41,+0.13,+0.75%,"16,128"
SCWX,SecureWorks Corp.,11.23,-0.03,-0.27%,"50,046"
SCSC,"ScanSource, Inc.",35.17,-0.17,-0.48%,"107,272"
CSIQ,Canadian Solar Inc.,14.92,+0.14,+0.95%,"631,594"
CMTL,Comtech Telecommunications Corp.,36.24,+0.25,+0.69%,"112,252"
CTS,CTS Corporation,26.89,+0.39,+1.47%,"202,040"
VSLR,"Vivint Solar, Inc.",6.97,+0.50,+7.73%,1.089M
NOVA,Sunnova Energy International Inc.,10.13,-0.26,-2.50%,"143,748"
FARO,"FARO Technologies, Inc.",48.83,+0.31,+0.64%,"78,115"
IMOS,ChipMOS TECHNOLOGIES INC.,22.76,-0.34,-1.47%,"12,625"
VNET,"21Vianet Group, Inc.",7.51,-0.01,-0.13%,"87,107"
UCTT,"Ultra Clean Holdings, Inc.",20.78,-0.18,-0.88%,"302,469"
EXTR,"Extreme Networks, Inc.",6.65,+0.13,+1.99%,1.229M
UEIC,Universal Electronics Inc.,55.53,-0.56,-1.00%,"34,828"
PLAB,"Photronics, Inc.",11.35,-0.11,-0.92%,"428,541"
JKS,"JinkoSolar Holding Co., Ltd.",17.29,-0.17,-0.97%,1.489M
NTGR,"NETGEAR, Inc.",24.94,-0.61,-2.39%,"369,293"
SGH,"SMART Global Holdings, Inc.",31.20,+0.15,+0.48%,"101,509"
LASR,"nLIGHT, Inc.",19.49,-0.47,-2.35%,"232,424"
HLIT,Harmonic Inc.,8.00,+0.01,+0.13%,"327,451"
PI,"Impinj, Inc.",32.53,-0.30,-0.91%,"184,960"
COHU,"Cohu, Inc.",17.40,+0.18,+1.05%,"321,622"
IIIV,"i3 Verticals, Inc.",26.13,+3.83,+17.17%,"368,197"
UIS,Unisys Corporation,11.12,+0.34,+3.15%,"463,363"
MAXR,Maxar Technologies Inc.,11.33,+0.33,+3.00%,"943,385"
VCRA,"Vocera Communications, Inc.",21.41,+0.13,+0.61%,"240,031"
ACLS,"Axcelis Technologies, Inc.",20.72,-0.34,-1.61%,"140,459"
ICHR,"Ichor Holdings, Ltd.",29.50,-1.22,-3.97%,"269,316"
AUDC,AudioCodes Ltd.,22.76,-0.02,-0.09%,"194,609"
VECO,Veeco Instruments Inc.,13.51,-0.30,-2.17%,"158,967"
HMI,Huami Corporation,10.07,-0.36,-3.45%,"212,671"
VIOT,"Viomi Technology Co., Ltd",8.90,-1.03,-10.37%,"229,988"
TUFN,Tufin Software Technologies Ltd.,17.46,-0.02,-0.11%,"163,668"
AGYS,"Agilysys, Inc.",25.14,-0.13,-0.51%,"81,308"
DBD,"Diebold Nixdorf, Incorporated",7.39,-0.20,-2.64%,"573,471"
CEVA,"CEVA, Inc.",25.75,+0.26,+1.02%,"73,491"
CRNC,Cerence Inc.,15.04,+0.24,+1.62%,"350,173"
DGII,Digi International Inc.,18.42,+0.27,+1.49%,"314,575"
MGIC,Magic Software Enterprises Ltd.,10.27,+0.10,+0.98%,"13,223"
ATEN,"A10 Networks, Inc.",6.59,-0.12,-1.79%,"204,825"
DQ,Daqo New Energy Corp.,37.82,+0.08,+0.21%,"104,654"
AMSWA,"American Software, Inc.",15.93,-0.49,-2.98%,"137,674"
